Contributors to Fishtest with >10,000 CPU hours, as of 2023-05-27.
Thank you!

Username                                CPU Hours     Games played
------------------------------------------------------------------
noobpwnftw                               37304027       2833556221
technologov                              13508659        714674674
linrock                                   4121386        280027751
mlang                                     3026000        200065824
dew                                       1689162        100033738
okrout                                    1541122        145085726
pemo                                      1481818         47546583
grandphish2                               1459364         91364265
TueRens                                   1178700         69951886
JojoM                                      937875         60821044
tvijlbrief                                 796125         51897690
mibere                                     703840         46867607
sebastronomy                               687502         35585318
gvreuls                                    645570         42437926
oz                                         541224         39133532
cw                                         517856         34869499
fastgm                                     503862         30260818
CSU_Dynasty                                464691         31166478
leszek                                     460426         32840277
ctoks                                      434323         28497451
crunchy                                    427035         27344275
maximmasiutin                              424154         26534660
bcross                                     415722         29060963
rpngn                                      344368         24218047
velislav                                   342559         22138408
Fisherman                                  327231         21829379
mgrabiak                                   297057         20260882
Dantist                                    296386         18031762
nordlandia                                 242642         15922516
robal                                      240199         15544104
marrco                                     234581         17714473
ncfish1                                    227517         15233777
glinscott                                  208125         13277240
drabel                                     204167         13930674
mhoram                                     202894         12601997
bking_US                                   198894         11876016
olafm                                      192342         14968698
Thanar                                     179852         12365359
vdv                                        175544          9904472
spams                                      157128         10319326
sqrt2                                      147963          9724586
DesolatedDodo                              144759          9408038
Calis007                                   143165          9478764
vdbergh                                    138436          9042073
CoffeeOne                                  137100          5024116
malala                                     136182          8002293
armo9494                                   136010          9447548
xoto                                       133759          9159372
davar                                      129023          8376525
DMBK                                       122960          8980062
dsmith                                     122059          7570238
amicic                                     119661          7938029
Data                                       113305          8220352
BrunoBanani                                112960          7436849
CypressChess                               108331          7759788
skiminki                                   107583          7218170
MaZePallas                                 102823          6633619
sterni1971                                 100532          5880772
jcAEie                                     100392          7788270
sunu                                       100167          7040199
zeryl                                       99331          6221261
thirdlife                                   99124          2242380
ElbertoOne                                  99028          7023771
cuistot                                     98360          6017102
bigpen0r                                    94809          6529203
brabos                                      92118          6186135
Wolfgang                                    90855          5998076
psk                                         89957          5984901
racerschmacer                               85805          6122790
Dubslow                                     84986          6042456
Vizvezdenec                                 83761          5344740
sschnee                                     83564          4853834
0x3C33                                      82614          5271253
BRAVONE                                     81239          5054681
Fifis                                       77355          5158211
nssy                                        76497          5259388
jromang                                     76106          5236025
teddybaer                                   75125          5407666
Wencey                                      74181          4711488
megaman7de                                  73866          4894960
Pking_cda                                   73776          5293873
tolkki963                                   73531          5020500
yurikvelo                                   72847          4972808
Bobo1239                                    70579          4794999
solarlight                                  70517          5028306
dv8silencer                                 70287          3883992
markkulix                                   70278          5068326
manap                                       66273          4121774
tinker                                      64333          4268790
qurashee                                    61208          3429862
Mineta                                      58759          4399960
AGI                                         58147          4325994
Spprtr                                      58106          3858759
robnjr                                      57262          4053117
Freja                                       56938          3733019
MaxKlaxxMiner                               56879          3423958
MarcusTullius                               56746          3762951
ttruscott                                   56010          3680085
rkl                                         55132          4164467
renouve                                     53811          3501516
finfish                                     51360          3370515
eva42                                       51272          3599691
eastorwest                                  51117          3454811
rap                                         49985          3219146
pb00067                                     49733          3298934
javran                                      49178          4190632
OuaisBla                                    48606          3442958
ronaldjerum                                 47654          3240695
biffhero                                    46564          3111352
VoyagerOne                                  45476          3452465
oryx                                        44532          3450170
jmdana                                      43849          2955821
speedycpu                                   43842          3003273
jbwiebe                                     43305          2805433
Antihistamine                               41788          2761312
mhunt                                       41735          2691355
maposora                                    41534          3733078
GPUex                                       41061          2998356
homyur                                      39893          2850481
gri                                         39871          2515779
Garf                                        37741          2999686
SC                                          37299          2731694
csnodgrass                                  36207          2688994
strelock                                    34716          2074055
EthanOConnor                                33370          2090311
slakovv                                     32915          2021889
Gelma                                       31771          1551204
gopeto                                      31671          2060990
szupaw                                      31248          2594920
kdave                                       31157          2198362
manapbk                                     30987          1810399
Prcuvu                                      30377          2170122
anst                                        30301          2190091
jkiiski                                     30136          1904470
spcc                                        29925          1901692
hyperbolic.tom                              29840          2017394
chuckstablers                               29659          2093438
Pyafue                                      29650          1902349
belzedar94                                  28846          1811530
chriswk                                     26902          1868317
xwziegtm                                    26897          2124586
achambord                                   26582          1767323
Patrick_G                                   26276          1801617
yorkman                                     26193          1992080
Ulysses                                     25285          1689346
SFTUser                                     25182          1675689
nabildanial                                 24942          1519409
Sharaf_DG                                   24765          1786697
rodneyc                                     24376          1416402
agg177                                      23890          1395014
Ente                                        23639          1671638
JanErik                                     23408          1703875
Isidor                                      23388          1680691
Norabor                                     23371          1603244
Goatminola                                  23338          1910634
cisco2015                                   22920          1763301
Jopo12321                                   22890          1424926
Zirie                                       22542          1472937
team-oh                                     22272          1636708
Roady                                       22220          1465606
MazeOfGalious                               21978          1629593
sg4032                                      21947          1643353
jsys14                                      21935          1499128
ianh2105                                    21725          1632562
xor12                                       21628          1680365
dex                                         21612          1467203
nesoneg                                     21494          1463031
user213718                                  21454          1404128
sphinx                                      21211          1384728
jjoshua2                                    21001          1423089
Zake9298                                    20938          1565848
AndreasKrug                                 20911          1615673
horst.prack                                 20878          1465656
